#Data for Habichtstraße, Hamburg from 2019/10/01 to 2020/04/02. [generated on 2020-04-02 00:25]
#Station is located at latitude 53.59235000, longitude 10.05372400
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Hamburger air monitoring network - (Hamburger Luftmessnetz – FHH)  http://luft.hamburg.de/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2019-10-26,3.7,3,5,10.3,9,12,28.7,13,66,0.2,0.1,0.5
2019-10-25,17,6,34,"-","-","-",49,18,87,0.4,0.1,0.8
2019-10-24,29.9,18,36,34.2,31,35,39.2,12,82,0.4,0.2,0.9
2019-10-23,16.2,12,18,29.8,23,33,43.2,27,62,0.4,0.3,0.6
2019-10-22,11.3,10,12,24,22,26,53.4,23,71,0.4,0.3,0.7
2019-10-21,8.3,7,11,17.6,14,25,34.9,2,80,0.5,0.1,1.3
2019-10-20,8.8,6,11,20,14,23,36.7,7,61,0.4,0.1,0.6
2019-10-19,3.1,2,5,11.2,10,13,39.9,19,66,0.3,0.1,0.6
2019-10-18,6.3,5,7,15.3,13,17,44,17,78,0.3,0.1,0.8
2019-10-17,7.6,6,11,15.7,13,23,49.7,12,87,0.4,0.1,0.8
2019-10-16,15.9,13,17,35,26,40,47.5,14,77,0.3,0.1,0.7
2019-10-15,7.1,4,12,24.7,18,33,46.9,11,88,0.5,0.1,1.1
2019-10-14,6.1,5,8,17.5,16,18,43.6,8,71,0.3,0.1,0.4
2019-10-13,6.6,4,8,15.9,12,19,37,18,53,0.4,0.1,0.6
2019-10-12,6,4,7,13.3,11,17,41.3,16,60,0.3,0.1,0.4
2019-10-11,6.3,6,7,16.2,15,17,40.7,22,67,0.3,0.1,0.5
2019-10-10,8,8,8,17.5,16,20,46.8,19,91,0.3,0.1,0.5
2019-10-09,9.3,8,13,23.4,21,25,53.9,24,84,0.4,0.2,0.6
2019-10-08,13.9,12,15,27.6,25,31,48,20,87,0.4,0.2,0.8
2019-10-07,8.1,5,12,14.8,7,25,66.4,23,118,0.6,0.2,1.2
2019-10-06,4.2,3,5,7,6,8,31.5,17,42,0.3,0.1,0.5
2019-10-05,6,3,10,10.7,5,18,17.8,8,44,0.2,0.1,0.4
2019-10-04,9.7,5,13,19,12,25,38,19,85,0.4,0.2,0.7
2019-10-03,3.3,2,5,8.8,6,12,28.9,11,60,0.4,0.1,0.9
2019-10-02,4.2,3,5,11.8,11,13,61.6,20,96,0.5,0.1,1.2
2019-10-01,4.2,3,5,12,9,14,47.9,14,100,0.4,0.1,1
