#Data for Pavia Folperti, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.19468231, longitude 9.16464919
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,no2,no2_min,no2_max,so2,so2_min,so2_max
2019-07-24,41,41,41,36,36,36,205,205,205,36,36,36,51,51,51
2019-07-23,39,39,39,42,42,42,187,187,187,37,37,37,9,9,9
2019-07-22,24,24,24,23,23,23,169,169,169,58,58,58,9,9,9
2019-07-21,17,17,17,17,17,17,152,152,152,31,31,31,9,9,9
2019-07-20,13,13,13,14,14,14,168,168,168,38,38,38,13,13,13
2019-07-19,27,27,27,29,29,29,166,166,166,43,43,43,5,5,5
2019-07-18,20,20,20,22,22,22,139,139,139,34,34,34,5,5,5
2019-07-17,12,12,12,13,13,13,160,160,160,31,31,31,6,6,6
2019-07-16,13,13,13,16,16,16,130,130,130,51,51,51,4,4,4
2019-07-15,13,13,13,9,9,9,82,82,82,32,32,32,2,2,2
2019-07-14,6,6,6,8,8,8,122,122,122,19,19,19,2,2,2
2019-07-13,7,7,7,14,14,14,139,139,139,19,19,19,3,3,3
2019-07-12,17,17,17,21,21,21,155,155,155,30,30,30,7,7,7
2019-07-11,16,16,16,16,16,16,120,120,120,30,30,30,3,3,3
2019-07-10,11,11,11,19,19,19,126,126,126,20,20,20,3,3,3
2019-07-09,14,14,14,26,26,26,125,125,125,21,21,21,3,3,3
2019-07-08,23,23,23,28,28,28,164,164,164,29,29,29,5,5,5
2019-07-07,16,16,16,28,28,28,121,121,121,29,29,29,3,3,3
2019-07-06,19,19,19,31,31,31,148,148,148,21,21,21,3,3,3
2019-07-05,38,38,38,31,31,31,182,182,182,36,36,36,7,7,7
2019-07-04,9,9,9,19,19,19,169,169,169,23,23,23,3,3,3
2019-07-03,16,16,16,26,26,26,189,189,189,31,31,31,3,3,3
2019-07-02,8,8,8,14,14,14,152,152,152,23,23,23,3,3,3
2019-07-01,28,28,28,40,40,40,203,203,203,41,41,41,10,10,10
2019-06-30,14,14,14,29,29,29,184,184,184,30,30,30,4,4,4
2019-06-29,9,9,9,21,21,21,156,156,156,19,19,19,3,3,3
2019-06-17,13,13,13,"-","-","-",140,140,140,39,39,39,4,4,4
2019-06-16,9,9,9,16,16,16,129,129,129,38,38,38,6,6,6
2019-06-15,22,22,22,39,39,39,114,114,114,18,18,18,2,2,2
2019-06-14,22,22,22,30,30,30,144,144,144,38,38,38,3,3,3
2019-06-13,"-","-","-",7,7,7,120,120,120,91,91,91,6,6,6
2019-06-12,7,7,7,22,22,22,111,111,111,18,18,18,2,2,2
2019-06-11,13,13,13,40,40,40,101,101,101,25,25,25,2,2,2
2019-06-10,35,35,35,75,75,75,96,96,96,31,31,31,2,2,2
2019-06-09,14,14,14,24,24,24,101,101,101,28,28,28,2,2,2
2019-06-08,7,7,7,17,17,17,120,120,120,30,30,30,3,3,3
2019-06-07,7,7,7,24,24,24,111,111,111,24,24,24,2,2,2
2019-06-06,4,4,4,15,15,15,101,101,101,42,42,42,2,2,2
2019-06-05,6,6,6,14,14,14,116,116,116,37,37,37,2,2,2
2019-06-04,7,7,7,15,15,15,130,130,130,27,27,27,2,2,2
2019-06-03,13,13,13,14,14,14,131,131,131,29,29,29,2,2,2
2019-06-02,9,9,9,10,10,10,133,133,133,33,33,33,6,6,6
2019-06-01,11,11,11,14,14,14,123,123,123,52,52,52,2,2,2
2019-05-31,6,6,6,7,7,7,108,108,108,40,40,40,2,2,2
2019-05-30,7,7,7,10,10,10,94,94,94,30,30,30,2,2,2
2019-05-29,1,1,1,5,5,5,64,64,64,31,31,31,2,2,2
2019-05-28,18,18,18,25,25,25,82,82,82,31,31,31,2,2,2
2019-05-27,8,8,8,12,12,12,79,79,79,16,16,16,2,2,2
2019-05-26,27,27,27,16,16,16,97,97,97,18,18,18,2,2,2
2019-05-25,13,13,13,19,19,19,110,110,110,34,34,34,2,2,2
2019-05-24,10,10,10,16,16,16,127,127,127,35,35,35,2,2,2
2019-05-23,11,11,11,18,18,18,137,137,137,40,40,40,3,3,3
2019-05-22,7,7,7,13,13,13,118,118,118,43,43,43,2,2,2
2019-05-21,7,7,7,12,12,12,106,106,106,28,28,28,2,2,2
2019-05-20,7,7,7,20,20,20,72,72,72,31,31,31,2,2,2
2019-05-19,8,8,8,7,7,7,66,66,66,17,17,17,2,2,2
2019-05-18,12,12,12,12,12,12,61,61,61,39,39,39,2,2,2
2019-05-17,19,19,19,20,20,20,81,81,81,37,37,37,2,2,2
2019-05-16,16,16,16,24,24,24,93,93,93,32,32,32,3,3,3
2019-05-15,9,9,9,11,11,11,76,76,76,36,36,36,2,2,2
2019-05-14,17,17,17,20,20,20,95,95,95,16,16,16,2,2,2
2019-05-13,6,6,6,7,7,7,"-","-","-","-","-","-","-","-","-"
2019-05-12,2,2,2,7,7,7,55,55,55,19,19,19,2,2,2
2019-05-11,7,7,7,12,12,12,90,90,90,34,34,34,2,2,2
2019-05-10,20,20,20,19,19,19,110,110,110,49,49,49,3,3,3
2019-05-09,11,11,11,15,15,15,111,111,111,63,63,63,2,2,2
2019-05-08,20,20,20,21,21,21,77,77,77,37,37,37,2,2,2
2019-05-07,2,2,2,20,20,20,95,95,95,34,34,34,2,2,2
2019-05-06,5,5,5,5,5,5,88,88,88,44,44,44,2,2,2
2019-05-05,7,7,7,1,1,1,91,91,91,17,17,17,2,2,2
2019-05-04,12,12,12,19,19,19,107,107,107,22,22,22,2,2,2
2019-05-03,7,7,7,14,14,14,88,88,88,31,31,31,2,2,2
2019-05-02,9,9,9,16,16,16,105,105,105,52,52,52,3,3,3
2019-05-01,9,9,9,13,13,13,124,124,124,28,28,28,4,4,4
2019-04-30,1,1,1,5,5,5,106,106,106,40,40,40,3,3,3
2019-04-29,11,11,11,9,9,9,78,78,78,25,25,25,2,2,2
2019-04-28,"-","-","-",9,9,9,97,97,97,21,21,21,2,2,2
2019-04-27,3,3,3,8,8,8,101,101,101,41,41,41,4,4,4
2019-04-26,22,22,22,20,20,20,77,77,77,49,49,49,2,2,2
2019-04-25,19,19,19,36,36,36,31,31,31,26,26,26,3,3,3
2019-04-24,12,12,12,26,26,26,45,45,45,35,35,35,3,3,3
2019-04-23,10,10,10,13,13,13,70,70,70,16,16,16,2,2,2
2019-04-22,18,18,18,29,29,29,81,81,81,14,14,14,2,2,2
2019-04-21,17,17,17,19,19,19,78,78,78,27,27,27,3,3,3
2019-04-20,23,23,23,29,29,29,82,82,82,48,48,48,3,3,3
2019-04-19,22,22,22,29,29,29,78,78,78,37,37,37,2,2,2
2019-04-18,30,30,30,33,33,33,89,89,89,62,62,62,4,4,4
2019-04-17,25,25,25,29,29,29,"-","-","-",47,47,47,4,4,4
2019-04-16,25,25,25,26,26,26,"-","-","-",45,45,45,5,5,5
2019-04-15,12,12,12,16,16,16,52,52,52,37,37,37,4,4,4
2019-04-14,10,10,10,10,10,10,82,82,82,22,22,22,4,4,4
2019-04-13,18,18,18,20,20,20,75,75,75,16,16,16,4,4,4
2019-04-12,19,19,19,20,20,20,68,68,68,32,32,32,5,5,5
2019-04-11,13,13,13,12,12,12,70,70,70,30,30,30,5,5,5
2019-04-10,13,13,13,17,17,17,82,82,82,58,58,58,5,5,5
2019-04-09,3,3,3,11,11,11,95,95,95,42,42,42,5,5,5
2019-04-08,"-","-","-","-","-","-",103,103,103,41,41,41,4,4,4
2019-04-07,18,18,18,20,20,20,75,75,75,29,29,29,5,5,5
2019-04-06,16,16,16,17,17,17,77,77,77,29,29,29,5,5,5
