#Data for Varese Copelli, Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.8169745, longitude 8.82024911
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,no2,no2_min,no2_max,co,co_min,co_max
2019-10-03,11,11,11,12,12,12,61,61,61,0.2,0.2,0.2
2019-10-02,2,2,2,6,6,6,48,48,48,0.3,0.3,0.3
2019-10-01,16,16,16,20,20,20,53,53,53,0.4,0.4,0.4
2019-09-30,15,15,15,20,20,20,57,57,57,0.4,0.4,0.4
2019-09-29,15,15,15,22,22,22,54,54,54,0.3,0.3,0.3
2019-09-28,27,27,27,36,36,36,57,57,57,0.5,0.5,0.5
2019-09-27,44,44,44,54,54,54,60,60,60,0.5,0.5,0.5
2019-09-26,23,23,23,31,31,31,59,59,59,0.4,0.4,0.4
2019-09-25,8,8,8,12,12,12,72,72,72,0.3,0.3,0.3
2019-09-24,5,5,5,12,12,12,60,60,60,0.3,0.3,0.3
2019-09-23,13,13,13,14,14,14,54,54,54,0.3,0.3,0.3
2019-09-22,14,14,14,21,21,21,49,49,49,0.3,0.3,0.3
2019-09-21,13,13,13,21,21,21,59,59,59,0.2,0.2,0.2
2019-09-20,13,13,13,17,17,17,51,51,51,0.3,0.3,0.3
2019-09-19,14,14,14,17,17,17,42,42,42,0.3,0.3,0.3
2019-09-18,20,20,20,29,29,29,52,52,52,0.4,0.4,0.4
2019-09-17,24,24,24,32,32,32,59,59,59,0.4,0.4,0.4
2019-09-16,26,26,26,31,31,31,54,54,54,0.4,0.4,0.4
2019-09-15,30,30,30,36,36,36,60,60,60,0.5,0.5,0.5
2019-09-14,31,31,31,38,38,38,90,90,90,0.5,0.5,0.5
2019-09-13,16,16,16,26,26,26,66,66,66,0.4,0.4,0.4
2019-09-12,13,13,13,16,16,16,62,62,62,0.3,0.3,0.3
2019-09-11,9,9,9,13,13,13,58,58,58,0.2,0.2,0.2
2019-09-10,10,10,10,17,17,17,52,52,52,0.3,0.3,0.3
2019-09-09,3,3,3,4,4,4,52,52,52,0.2,0.2,0.2
2019-09-08,5,5,5,4,4,4,40,40,40,0.2,0.2,0.2
2019-09-07,6,6,6,10,10,10,37,37,37,0.2,0.2,0.2
2019-09-06,6,6,6,8,8,8,52,52,52,0.2,0.2,0.2
2019-09-05,14,14,14,17,17,17,57,57,57,0.3,0.3,0.3
2019-09-04,10,10,10,15,15,15,57,57,57,0.3,0.3,0.3
2019-09-03,7,7,7,7,7,7,49,49,49,0.2,0.2,0.2
2019-09-02,9,9,9,12,12,12,48,48,48,0.1,0.1,0.1
2019-09-01,10,10,10,16,16,16,42,42,42,0.2,0.2,0.2
2019-08-31,15,15,15,18,18,18,46,46,46,0.3,0.3,0.3
2019-08-30,14,14,14,16,16,16,53,53,53,0.2,0.2,0.2
2019-08-29,14,14,14,16,16,16,59,59,59,0.2,0.2,0.2
2019-08-28,16,16,16,18,18,18,59,59,59,0.2,0.2,0.2
2019-08-27,22,22,22,25,25,25,49,49,49,0.2,0.2,0.2
2019-08-26,25,25,25,28,28,28,44,44,44,0.2,0.2,0.2
2019-08-25,14,14,14,19,19,19,41,41,41,"-","-","-"
2019-08-24,14,14,14,16,16,16,45,45,45,"-","-","-"
2019-08-23,9,9,9,15,15,15,41,41,41,"-","-","-"
2019-08-22,20,20,20,14,14,14,"-","-","-","-","-","-"
2019-08-21,8,8,8,10,10,10,"-","-","-","-","-","-"
2019-08-20,15,15,15,19,19,19,"-","-","-","-","-","-"
2019-08-19,20,20,20,18,18,18,"-","-","-","-","-","-"
2019-08-18,15,15,15,17,17,17,38,38,38,"-","-","-"
2019-08-17,9,9,9,13,13,13,49,49,49,"-","-","-"
2019-08-16,8,8,8,10,10,10,41,41,41,"-","-","-"
2019-08-15,10,10,10,9,9,9,30,30,30,0.3,0.3,0.3
2019-08-14,6,6,6,6,6,6,43,43,43,0.3,0.3,0.3
2019-08-13,7,7,7,7,7,7,37,37,37,0.3,0.3,0.3
2019-08-12,16,16,16,23,23,23,37,37,37,0.4,0.4,0.4
2019-08-11,18,18,18,26,26,26,37,37,37,0.3,0.3,0.3
2019-08-10,20,20,20,25,25,25,37,37,37,0.3,0.3,0.3
2019-08-09,17,17,17,22,22,22,59,59,59,0.3,0.3,0.3
