#Data for Autostrada Sud km 107, BrennerLEC, Bolzano Alto Adige from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 46.4736128, longitude 11.3262304
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Qualità dell’aria | Agenzia provinciale per l'ambiente | Provincia autonoma di Bolzano - Alto Adige  http://umwelt.provinz.bz.it/
date,pm25,pm25_min,pm25_max,pm10,pm10_min,pm10_max,o3,o3_min,o3_max,so2,so2_min,so2_max
2019-06-23,3,3,3,9,9,9,40.5,5,76,26.5,22,31
2019-06-22,8,8,8,11,11,11,27.5,23,32,43.5,33,54
2019-06-21,12,12,12,18,18,18,48,48,48,45,42,48
2019-06-20,10,10,10,16,16,16,109.5,95,124,18,13,23
2019-06-19,14,14,14,21,21,21,77.5,35,120,40,32,48
2019-06-18,18,18,18,21,21,21,78,65,91,34,23,45
2019-06-17,8,8,8,14,14,14,71,61,81,25.5,15,36
2019-06-16,13,13,13,23,23,23,86,77,95,40,33,47
2019-06-15,18,18,18,31,31,31,89.5,77,102,52.5,31,74
2019-06-14,8,8,8,22,22,22,89.5,78,101,42,39,45
2019-06-13,9,9,9,27,27,27,124,124,124,29,15,43
2019-06-12,17,17,17,42,42,42,50,50,50,16,10,22
2019-06-11,16,16,16,37,37,37,38.5,12,65,42.5,38,47
2019-06-10,15,15,15,26,26,26,68,58,78,17.5,11,24
2019-06-09,18,18,18,25,25,25,86,86,86,46,46,46
2019-06-08,14,14,14,21,21,21,93,90,96,44,41,47
2019-06-07,11,11,11,16,16,16,81.5,72,91,27,21,33
2019-06-06,20,20,20,26,26,26,95,95,95,25,25,25
2019-06-05,"-","-","-","-","-","-",87,87,87,34,34,34
2019-06-04,"-","-","-","-","-","-",96,96,96,29,29,29
2019-06-03,"-","-","-","-","-","-",90.5,75,106,46,27,65
2019-06-02,12,12,12,14,14,14,73,62,84,42,28,56
2019-06-01,9,9,9,12,12,12,52.5,51,54,38,37,39
2019-05-31,8,8,8,13,13,13,47,22,72,46.5,41,52
2019-05-30,6,6,6,10,10,10,54,54,54,53,53,53
2019-05-29,3,3,3,5,5,5,46.5,22,71,33.5,10,57
2019-05-28,5,5,5,7,7,7,27,24,30,39.5,36,43
2019-05-27,11,11,11,15,15,15,17,10,24,39.5,27,52
2019-05-26,7,7,7,11,11,11,58,43,73,22.5,20,25
2019-05-25,11,11,11,17,17,17,60,60,60,15,15,15
2019-05-24,13,13,13,17,17,17,60,60,60,62,62,62
2019-05-23,9,9,9,12,12,12,109,109,109,30,30,30
2019-05-22,8,8,8,12,12,12,20.5,13,28,50.5,35,66
2019-05-21,4,4,4,6,6,6,"-","-","-","-","-","-"
2019-05-20,8,8,8,8,8,8,21,14,28,49.5,36,63
2019-05-19,5,5,5,7,7,7,33.5,32,35,41.5,39,44
2019-05-18,10,10,10,13,13,13,36,24,48,47,32,62
2019-05-17,8,8,8,12,12,12,52,52,52,49,42,56
2019-05-16,8,8,8,12,12,12,60,43,77,40.5,37,44
2019-05-15,2,2,2,8,8,8,60.5,51,70,35,21,49
2019-05-14,1,1,1,7,7,7,86,81,91,26.5,14,39
2019-05-13,"-","-","-",4,4,4,60.5,53,68,40,32,48
2019-05-12,"-","-","-",2,2,2,60.5,44,77,13,7,19
2019-05-11,11,11,11,14,14,14,46,15,77,37,14,60
2019-05-10,11,11,11,17,17,17,49.5,8,91,53,44,62
2019-05-09,6,6,6,10,10,10,42,42,42,33,33,33
2019-05-08,12,12,12,19,19,19,85,85,85,22,22,22
2019-05-07,13,13,13,19,19,19,55,37,73,56,47,65
2019-05-06,4,4,4,6,6,6,75.5,64,87,27.5,19,36
2019-05-05,2,2,2,2,2,2,74.5,66,83,19,13,25
2019-05-04,6,6,6,7,7,7,26.5,24,29,42.5,41,44
2019-05-03,6,6,6,7,7,7,49.5,30,69,44.5,33,56
2019-05-02,10,10,10,15,15,15,124,124,124,7,7,7
2019-05-01,8,8,8,12,12,12,19,19,19,73,73,73
2019-04-30,5,5,5,9,9,9,44.5,11,78,57,39,75
2019-04-29,3,3,3,5,5,5,35.5,15,56,61.5,39,84
2019-04-28,4,4,4,4,4,4,72.5,65,80,15.5,9,22
2019-04-27,4,4,4,5,5,5,13,13,13,68,68,68
2019-04-26,7,7,7,12,12,12,7,7,7,57,57,57
2019-04-25,9,9,9,14,14,14,85,85,85,15,15,15
2019-04-24,9,9,9,13,13,13,35.5,7,64,56,48,64
2019-04-23,13,13,13,17,17,17,52.5,49,56,50.5,48,53
2019-04-22,13,13,13,20,20,20,55,6,104,56,31,81
2019-04-21,12,12,12,14,14,14,57.5,11,104,55.5,53,58
2019-04-20,12,12,12,15,15,15,62,8,116,57,25,89
2019-04-19,14,14,14,19,19,19,50.5,4,97,74.5,53,96
2019-04-18,17,17,17,23,23,23,55.5,5,106,68.5,47,90
2019-04-17,16,16,16,21,21,21,46,12,80,68,65,71
2019-04-16,13,13,13,18,18,18,41,3,79,69.5,58,81
2019-04-13,"-","-","-","-","-","-",8,8,8,46,46,46
2019-04-12,12,12,12,15,15,15,"-","-","-","-","-","-"
2019-04-11,10,10,10,11,11,11,27.5,6,49,59.5,50,69
2019-04-10,11,11,11,15,15,15,28.5,5,52,40,31,49
2019-04-09,11,11,11,15,15,15,22.5,15,30,61,40,82
2019-04-08,9,9,9,12,12,12,15,10,20,64.5,51,78
2019-04-07,8,8,8,10,10,10,43,43,43,21,21,21
2019-04-06,16,16,16,18,18,18,71,71,71,32,32,32
2019-04-05,6,6,6,8,8,8,53,51,55,44,33,55
2019-04-04,6,6,6,8,8,8,50.5,36,65,50,32,68
2019-04-03,16,16,16,21,21,21,48.5,32,65,52.5,43,62
2019-04-02,18,18,18,27,27,27,124,124,124,13,13,13
2019-04-01,13,13,13,21,21,21,6,6,6,74,74,74
2019-03-31,15,15,15,20,20,20,"-","-","-","-","-","-"
2019-03-30,14,14,14,22,22,22,53,14,92,45.5,41,50
2019-03-29,14,14,14,23,23,23,42.5,13,72,55,53,57
2019-03-28,17,17,17,28,28,28,39.5,7,72,87,87,87
2019-03-27,9,9,9,15,15,15,64,58,70,41,27,55
2019-03-26,3,3,3,5,5,5,103,103,103,7,7,7
2019-03-25,9,9,9,17,17,17,47.5,19,76,51.5,51,52
