#Data for Cornale , Lombardia from 2019/01/01 to 2020/04/03. [generated on 2020-04-03 05:44]
#Station is located at latitude 45.04008561, longitude 8.91415717
#Values are unconverted and expressed in milligrams per cubic meter.
#Values are based on daily average
#Attribution: Agenzia Regionale per la Protezione dell'Ambiente della Lombardia)  https://ita.arpalombardia.it/ITA/
date,pm25,pm25_min,pm25_max,o3,o3_min,o3_max,no2,no2_min,no2_max,co,co_min,co_max
2019-07-17,5,5,5,135,135,135,31,31,31,0.2,0.2,0.2
2019-07-16,8,8,8,130,130,130,40,40,40,0.2,0.2,0.2
2019-07-15,6,6,6,81,81,81,28,28,28,0.2,0.2,0.2
2019-07-14,6,6,6,126,126,126,18,18,18,0.2,0.2,0.2
2019-07-13,11,11,11,142,142,142,29,29,29,0.2,0.2,0.2
2019-07-12,19,19,19,165,165,165,34,34,34,0.2,0.2,0.2
2019-07-11,12,12,12,115,115,115,33,33,33,0.2,0.2,0.2
2019-07-10,12,12,12,130,130,130,20,20,20,0.2,0.2,0.2
2019-07-09,14,14,14,125,125,125,21,21,21,0.3,0.3,0.3
2019-07-08,16,16,16,171,171,171,37,37,37,0.3,0.3,0.3
2019-07-07,16,16,16,121,121,121,12,12,12,0.3,0.3,0.3
2019-07-06,12,12,12,127,127,127,29,29,29,0.3,0.3,0.3
2019-07-05,12,12,12,183,183,183,35,35,35,0.3,0.3,0.3
2019-07-04,16,16,16,168,168,168,35,35,35,0.5,0.5,0.5
2019-07-03,31,31,31,176,176,176,25,25,25,"-","-","-"
2019-06-29,38,38,38,89,89,89,21,21,21,0.7,0.7,0.7
2019-06-17,19,19,19,133,133,133,31,31,31,0.7,0.7,0.7
2019-06-16,14,14,14,123,123,123,25,25,25,0.7,0.7,0.7
2019-06-15,29,29,29,98,98,98,17,17,17,0.6,0.6,0.6
2019-06-14,16,16,16,144,144,144,30,30,30,0.7,0.7,0.7
2019-06-13,7,7,7,114,114,114,35,35,35,"-","-","-"
2019-06-12,18,18,18,100,100,100,21,21,21,"-","-","-"
2019-06-11,27,27,27,92,92,92,27,27,27,"-","-","-"
2019-06-10,31,31,31,79,79,79,22,22,22,0.3,0.3,0.3
2019-06-09,17,17,17,102,102,102,6,6,6,0.3,0.3,0.3
2019-06-08,17,17,17,112,112,112,8,8,8,0.3,0.3,0.3
2019-06-07,10,10,10,109,109,109,20,20,20,0.3,0.3,0.3
2019-06-06,14,14,14,99,99,99,27,27,27,0.3,0.3,0.3
2019-06-05,11,11,11,106,106,106,"-","-","-",0.4,0.4,0.4
2019-06-04,11,11,11,89,89,89,24,24,24,0.3,0.3,0.3
2019-06-03,8,8,8,120,120,120,20,20,20,0.3,0.3,0.3
2019-06-02,11,11,11,118,118,118,19,19,19,0.3,0.3,0.3
2019-06-01,10,10,10,123,123,123,23,23,23,0.3,0.3,0.3
2019-05-31,10,10,10,109,109,109,28,28,28,0.5,0.5,0.5
2019-05-30,2,2,2,98,98,98,14,14,14,0.5,0.5,0.5
2019-05-28,20,20,20,78,78,78,9,9,9,0.5,0.5,0.5
2019-05-27,12,12,12,80,80,80,11,11,11,0.5,0.5,0.5
2019-05-26,12,12,12,90,90,90,25,25,25,0.5,0.5,0.5
2019-05-25,12,12,12,112,112,112,10,10,10,0.5,0.5,0.5
2019-05-24,10,10,10,114,114,114,15,15,15,0.5,0.5,0.5
2019-05-23,10,10,10,117,117,117,13,13,13,0.5,0.5,0.5
2019-05-22,7,7,7,103,103,103,9,9,9,0.6,0.6,0.6
2019-05-21,8,8,8,96,96,96,11,11,11,0.3,0.3,0.3
2019-05-20,5,5,5,73,73,73,11,11,11,0.4,0.4,0.4
2019-05-19,7,7,7,68,68,68,10,10,10,0.3,0.3,0.3
2019-05-18,10,10,10,66,66,66,12,12,12,0.4,0.4,0.4
2019-05-17,9,9,9,71,71,71,17,17,17,0.4,0.4,0.4
2019-05-16,8,8,8,92,92,92,20,20,20,0.3,0.3,0.3
2019-05-15,8,8,8,80,80,80,23,23,23,0.3,0.3,0.3
2019-05-14,8,8,8,92,92,92,15,15,15,0.3,0.3,0.3
2019-05-13,7,7,7,75,75,75,25,25,25,0.3,0.3,0.3
2019-05-12,8,8,8,71,71,71,15,15,15,0.3,0.3,0.3
2019-05-11,11,11,11,81,81,81,17,17,17,0.3,0.3,0.3
2019-05-10,14,14,14,106,106,106,32,32,32,0.4,0.4,0.4
2019-05-09,9,9,9,98,98,98,18,18,18,0.4,0.4,0.4
2019-05-08,12,12,12,84,84,84,27,27,27,0.4,0.4,0.4
2019-05-07,8,8,8,96,96,96,17,17,17,0.4,0.4,0.4
2019-05-06,7,7,7,99,99,99,20,20,20,0.4,0.4,0.4
2019-05-05,5,5,5,90,90,90,2,2,2,0.4,0.4,0.4
2019-05-04,11,11,11,110,110,110,9,9,9,0.4,0.4,0.4
2019-05-03,8,8,8,89,89,89,23,23,23,0.4,0.4,0.4
2019-05-02,9,9,9,98,98,98,17,17,17,0.4,0.4,0.4
2019-05-01,8,8,8,109,109,109,10,10,10,0.4,0.4,0.4
2019-04-30,4,4,4,103,103,103,17,17,17,0.4,0.4,0.4
2019-04-29,6,6,6,88,88,88,29,29,29,"-","-","-"
